"country","medianIncome","meanIncome","gdpPerCapitaPPP","pop2023"
"Luxembourg",26321,31376,124590,654768
"United Arab Emirates",24292,27017,70089,9516871
"Norway",22684,25272,70005,5474360
"Switzerland",21490,25787,72376,8796669
"United States",19306,25332,65297,339996563
"Canada",18652,22042,51668,38781291
"Austria",18405,20718,60418,8958960
"Sweden",17625,20193,56632,10612086
"Denmark",17432,20304,62089,5910913
"Netherlands",17154,19690,61285,17618299
"Australia",17076,21329,53381,26439111
"Iceland",17017,19300,60132,375318
"Germany",16845,19730,57530,83294633
"France",16372,19409,50992,64756584
"Finland",16332,18742,53171,5545475
"Belgium",16157,17917,56348,11686140
"United Kingdom",14793,18133,49931,67736802
"Malta",14543,16509,47578,535064
"Ireland",14520,17938,89683,5056935
"Japan",14255,17095,43593,123294513
"Taiwan",13605,16355,0,23923276
"Italy",13170,15547,45722,58870762
"Cyprus",13053,15663,41254,1260138
"South Korea",12507,14316,44011,51784059
"Slovenia",11878,13056,42431,2119675
"Spain",11786,13822,43495,47519628
"Israel",10866,13271,42897,9174520
"Estonia",10651,12540,39986,1322765
"Czech Republic",10046,11394,44295,10495295
"Poland",8885,10155,35165,41026067
"Portugal",8439,10316,37918,10247605
"Lithuania",8267,10479,40016,2718352
"Slovakia",7991,8408,33515,5795199
"Latvia",7971,9727,33020,1830211
"Lebanon",7712,9091,15195,5353930
"Hungary",7684,8613,34966,10156239
"Uruguay",7533,9888,22515,3423108
"Malaysia",7512,10200,29619,34308525
"Croatia",7196,8008,31130,4008617
"Greece",6936,8131,32506,10341277
"Belarus",6507,7359,19997,9498238
"Chile",6293,9304,27002,19629590
"Panama",6254,9453,32850,4468087
"Bosnia and Herzegovina",5925,7131,16288,3210847
"Bulgaria",5696,7474,25312,6687717
"Russia",5504,7275,29181,144444359
"Costa Rica",5457,8440,21737,5212173
"Maldives",5409,6435,20395,521020.99999999994
"Argentina",5319,6935,0,45773884
"Seychelles",5314,8044,30516,107660
"Turkey",5251,7267,28133,85816199
"Romania",5206,5949,33339,19892812
"Brazil",4559,7654,15299,216422446
"Saint Lucia",4519,6946,16132,180251
"Ukraine",4434,5010,13341,36744634
"Serbia",4416,5252,19495,7149077
"Iran",4360,5924,12937,89172767
"Thailand",4356,5670,19276,71801279
"Paraguay",4334,6373,13246,6861524
"Montenegro",4193,5123,24035,626485
"Dominican Republic",4060,5873,19227,11332972
"North Macedonia",3857,4279,18107,2085679
"Mauritius",3832,4969,23882,1300557
"Peru",3678,4977,13416,34352719
"Kazakhstan",3661,4313,27517,19606633
"Bolivia",3631,4787,9110,12388571
"Ecuador",3525,5046,11878,18190484
"Tunisia",3366,4076,11231,12458223
"Mexico",3315,4929,20944,128455567
"Colombia",3259,5201,16012,52085168
"Azerbaijan",3193,3851,15041,10412651
"Jordan",3185,4025,10517,11337052
"Vietnam",3149,3881,8397,98858950
"Moldova",3133,3590,13626,3435931
"El Salvador",3095,3989,9164,6364943
"Jamaica",2899,4429,10193,2825544
"Trinidad and Tobago",2868,3711,27334,1534937
"Mongolia",2800,3409,12861,3447157
"Tonga",2782,3677,6665,107773
"Gabon",2779,3544,15611,2436566
"Morocco",2716,3721,7826,37840044
"Venezuela",2710,3741,17527,28838499
"Nicaragua",2697,3913,5646,7046310
"Algeria",2612,2996,12019,45606480
"Albania",2578,3141,14648,2832439
"Samoa",2537,3418,6795,225681
"Fiji",2460,3261,14289,936375
"Bhutan",2446,3189,12355,787424
"Sri Lanka",2277,3162,13656,21893579
"Georgia",2273,2814,15655,3728282
"Armenia",2216,2810,14257,2777970
"Tuvalu",2099,2802,4470,11396
"Guatemala",2036,3103,9019,18092026
"Guyana",2003,2729,13661,813834
"Syria",1996,2606,0,23227014
"Tajikistan",1994,2437,3529,10143543
"Namibia",1962,4023,10063,2604172
"Honduras",1959,3109,5981,10593798
"Iraq",1951,2293,11362,45504560
"Belize",1927,3246,7314,410825
"Myanmar",1909,2296,5369,54577997
"Kyrgyzstan",1892,2235,5485,6735347
"Ghana",1779,2422,5652,34121985
"Mauritania",1760,2094,5427,4862989
"Suriname",1659,2593,17256,623236
"South Africa",1624,4081,13034,60414495
"Botswana",1596,2907,18552,2675352
"Philippines",1581,2199,9302,117337368
"Kiribati",1489,1858,2372,133515
"Egypt",1485,1847,0,112716598
"Micronesia",1413,1858,3547,115224
"Djibouti",1403,1869,5779,1136455
"Comoros",1401,2050,3194,852075
"Pakistan",1399,1797,4898,240485658
"Gambia",1383,1784,2321,2773168
"Vanuatu",1379,1781,3292,334506
"Sudan",1277,1592,4122,48109006
"Cameroon",1245,1841,3803,28647293
"Haiti",1162,1540,3034,11724763
"Lesotho",1157,1659,2824,2330318
"Nepal",1155,1428,3567,30896590
"Yemen",1150,1503,3688,34449825
"Bangladesh",1131,1414,4964,172954319
"Eswatini",1097,2091,9003,1210822
"Laos",1065,1389,8172,7633779
"Solomon Islands",1028,1333,2780,740424
"Ivory Coast",987,1358,5443,28873034
"Timor-Leste",970,1147,3709,1360596
"Zimbabwe",932,1429,2961,16665409
"Ethiopia",907,1107,2319,126527060
"Sao Tome and Principe",901,1620,4145,231856
"Republic of the Congo",892,1375,3835,6106869
"Chad",880,1182,1649,18278568
"Papua New Guinea",876,1162,4547,10329931
"Kenya",874,1197,4521,55100586
"Senegal",844,1137,3545,17763163
"Guinea",843,1036,2675,14190612
"Nigeria",825,1021,5362,223804632
"Uganda",804,1166,2284,48582334
"South Sudan",793,1121,1234,11088796
"Sierra Leone",765,1004,1794,8791092
"Liberia",753,945,1491,5418377
"Burkina Faso",748,1002,2274,23251485
"Niger",738,937,1278,27202843
"Turkmenistan",706,963,15206,6516100
"Tanzania",702,992,2770,67438106
"Benin",699,989,3432,13712828
"Mali",689,861,2424,23293698
"Togo",683,964,1667,9053799
"Angola",665,1066,6965,36684202
"Rwanda",621,925,2325,14094683
"Uzbekistan",591,752,7308,35163944
"Zambia",545,1045,3624,20569737
"Mozambique",529,947,1338,33897354
"Central African Republic",491,891,986,5742315
"Guinea-Bissau",486,797,2077,2150842
"Malawi",484,733,1106,20931751
"Burundi",475,640,784,13238559
"Madagascar",398,567,1719,30325732
"DR Congo",395,548,1146,102262808
"India",0,1314,6996,1428627663
"China",0,4246,16829,1425671352